incident_id,year,title,description,incident_url,in_signal,out_signal,reason
446,2023,ShotSpotter Failed to Alert Authorities of Mass Shooting in North Carolina,"ShotSpotter did not detect gunshots and alert Durham police of a drive-by shooting in Durham, North Carolina which left five people in hospital on New Year's Day.",https://incidentdatabase.ai/cite/446,False,False,no-keyword-match
453,2023,Twitter's AI Moderation Tool Misidentified Rockets as Pornography,"Twitter's automated content moderation misidentified images of rocket launches as pornographic content, prompting incorrect account suspensions.",https://incidentdatabase.ai/cite/453,False,False,no-keyword-match
459,2023,Firefighters Smashed Cruise AV's Front Window to Stop It from Running over Fire Hoses,Local firefighters were only able to stop a Cruise AV from driving over fire hoses that were in use in an active fire scene when they shattered its front window.,https://incidentdatabase.ai/cite/459,False,False,no-keyword-match
462,2023,AI-Produced Livestream Sitcom Received Temporary Twitch Ban for Transphobic Segment,"The AI-produced, procedural generated sitcom broadcasted as a Twitch livestream ""Nothing, Forever"" received a temporary ban for featuring a transphobic and homophobic dialogue segment intended as comedy.",https://incidentdatabase.ai/cite/462,False,False,no-keyword-match
466,2023,AI-Generated Text Detectors Reportedly Misclassified Human and AI-Written Text,"AI-generated text detectors, including OpenAI’s AI Text Classifier, GPTZero, and Originality.ai, were publicly tested in early 2023 and reportedly produced false positives, false negatives, and easy evasion. OpenAI said its classifier identified only 26% of AI-written samples as likely AI-written and falsely labeled 9% of human-written text.",https://incidentdatabase.ai/cite/466,False,False,no-keyword-match
477,2023,Bing Chat Tentatively Hallucinated in Extended Conversations with Users,"Early testers reported Bing Chat, in extended conversations with users, having tendencies to make up facts and emulate emotions through an unintended persona.",https://incidentdatabase.ai/cite/477,False,False,no-keyword-match
485,2023,UK Bank's Voice ID Successfully Bypassed Using AI-Produced Audio,"A UK journalist was able to successfully bypass Lloyds Bank's ""Voice ID"" program to access his bank account using an AI-generated audio of his own voice.",https://incidentdatabase.ai/cite/485,False,False,no-keyword-match
488,2023,AI Generated Voices Used to Dox Voice Actors,Twitter users allegedly used ElevenLab's AI voice synthesis system to impersonate and dox voice actors.,https://incidentdatabase.ai/cite/488,False,False,no-keyword-match
492,2023,Canadian Parents Tricked out of Thousands Using Their Son's AI Voice,"Two Canadian residents were scammed by an anonymous caller who used AI voice synthesis to replicate their son's voice asking them for legal fees, disguising as his lawyer.",https://incidentdatabase.ai/cite/492,False,False,no-keyword-match
493,2023,"TikTok User Videos Impersonated Andrew Tate Using AI Voice, Prompting Ban","A TikTok user was reportedly impersonating Andrew Tate, who was banned on the platform, by posting videos featuring an allegedly AI-generated audio of Tate's voice, which prompted his account ban.",https://incidentdatabase.ai/cite/493,False,False,no-keyword-match
